Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock,scrap_collection_rate,scrap_supply,primary_steel_needed
2069,7432003871.591027,396523999.81394786,328703062.90333766,67820936.9106102,21750092286.984238,784590289.4448944,620118429.7967535,164471859.64814758,40511603350.4238,696604660.0642953,333641067.6433135,362963592.42099,5192281003.495194,357106373.53583336,311275765.6122461,45830607.9235878,2234825322.8589706,1593738325.9556508,74885980512.49425,0.8986288347972249,1593738325.9556508,641086996.9033198
2070,7499136159.9073515,399411211.67732835,332278923.36100435,67132288.31632423,21909030584.00256,787145169.0329801,628206872.0146562,158938297.018322,40869518349.44392,697648635.6722608,339733636.6521383,357914999.0201187,5237163770.568795,359512694.3024425,314629927.2288412,44882767.07360077,2243717710.685012,1614849359.25664,75514848863.92262,0.8988206755493897,1614849359.25664,628868351.4283719
2071,7565563644.646925,402257248.0616215,335829763.322048,66427484.73957348,22062527993.98161,789589059.5231864,636091649.5441338,153497409.97904968,41222312166.14567,698648657.2060591,345854840.5043034,352793816.7017517,5281095785.470119,361858258.44037986,317926243.5390557,43932014.90132427,2252353223.231247,1635702496.9095411,76131499590.24432,0.8989860541569905,1635702496.9095411,616650726.3217058
2072,7631271069.181117,405061841.3279404,339354416.7937489,65707424.534192085,22210683618.26236,791925947.9440411,643770323.663295,148155624.28075027,41569919377.590065,699608947.3498366,352001735.9054412,347607211.444397,5324075628.541666,364143657.9019615,321163814.8304152,42979843.071546555,2260740394.5237794,1656290291.1929004,76735949693.57521,0.8991285896887645,1656290291.1929004,604450103.330879
2073,7696244078.716981,407824765.69276106,342851756.1568963,64973009.53586388,22353602205.305813,794159752.775259,651241165.7317992,142918587.04345322,41912281637.11952,700533568.1453663,358171308.6159144,342362259.5294571,5366103312.015532,366369542.86930925,324341859.39544296,42027683.47386551,2268887629.4826956,1676606089.9000528,77328231233.15785,0.8992514142917929,1676606089.9000528,592281539.5826428
2074,7760469221.65452,410545836.28884614,346320693.35130703,64225142.9375391,22491393403.563175,796294326.9320656,658503128.674709,137791198.25736237,42249347568.477394,701426409.0066578,364360477.64877623,337065931.357872,5407180217.945377,368536617.2251043,327459711.29525834,41076905.92984581,2276803189.452674,1696644010.9700506,77908390411.64047,0.8993572366165756,1696644010.9700506,580159178.4826233
2075,7823933948.880104,413224908.170175,349760180.944591,63464727.22558403,22624171048.40527,798333459.1518706,665555814.3097774,132777644.84209442,42581072644.8101,702291176.0744216,370566099.7417264,331725076.33270264,5447309034.301928,370645634.11489457,330516817.7583438,40128816.35655022,2284495177.5113616,1716398912.7544384,78476486676.3974,0.8994483975279166,1716398912.7544384,568096264.7569232
2076,7886626611.063228,415861875.26631564,353169213.0831923,62692662.18312359,22752052485.078316,800280873.8169795,672399437.1439319,127881436.67304611,42907419053.64426,703131382.9298884,376784974.0957285,326346408.83415985,5486493689.669853,372697391.6159171,333512736.2479917,39184655.367925644,2291971523.629101,1735866360.5708442,79032591839.45566,0.8995269188928526,1735866360.5708442,556105163.0582566
2077,7948536454.02973,418456669.2917934,356546826.3252909,61909842.96650219,22875157929.107105,802140229.3183289,679034785.2895336,123105444.02878952,43228355548.94822,703950342.6755708,383013847.3716087,320936495.3039627,5524739286.963031,374692728.52554834,336447131.23237085,38245597.293177605,2299239969.8112416,1755042590.2188041,79576789219.04808,0.899594546197531,1755042590.2188041,544197379.5924375
2078,8009653612.289752,421009258.6157119,359892100.3556905,61117158.26002216,22993609865.06784,803915115.122885,685463179.1621499,118451935.96073532,43543857291.39708,704751161.3834194,389249418.9345601,315501742.44886017,5562052036.552392,376632520.28062177,339319770.6912607,37312749.58936119,2306308055.4026384,1773924469.143661,80109172805.30707,0.8996527856936197,1773924469.143661,532383586.2589774
2079,8069969100.803336,423519647.0969133,363204158.58332926,60315488.51358414,23107532484.20281,805609047.7543108,691686428.6193479,113922619.1349678,43853905677.96199,705536732.900156,395488346.3352394,310048386.5649109,5598439189.176163,378517675.01702607,342130522.39325595,36387152.623770714,2313183102.7684064,1792509455.9311726,80629846452.1443,0.8997029367174111,1792509455.9311726,520673646.8372338
2080,8129474805.070543,425987872.8897693,366482168.6225618,59505704.267207146,23217051160.947884,807225465.93007,697706789.1849927,109518676.74507523,44158488161.939156,706309734.9918838,401727251.0147141,304582483.9771652,5633908968.976806,380349129.77735764,344879349.97671497,35469779.80064297,2319872203.589081,1810795558.7989836,81138923096.93439,0.8997461197653134,1810795558.7989836,509076644.79009724
2081,8188163469.636268,428414007.2255491,369725342.65982497,58688664.56572437,23322291968.090405,808767725.1190627,703526917.9765401,105240807.1425209,44457598064.52195,707072626.8020643,407962724.21927744,299109902.5827942,5668470506.982703,382127846.8728235,347566308.8669251,34561538.00589752,2326382206.0195,1828781293.7225676,81636524009.23132,0.8997833008506837,1828781293.7225676,497600912.2969322
2082,8246028685.10263,430798153.1741172,372932937.7077555,57865215.466362,23423381229.968105,810239091.792756,709149829.9150586,101089261.8777008,44751234379.00131,707827647.5892195,414191333.1098652,293636314.4793625,5702133775.325857,383854810.4040735,350191542.0609194,33663268.34315395,2332719702.960166,1846465642.7935987,82122778069.3979,0.8998153126107029,1846465642.7935987,486254060.1665673
