year,steel_stock,stock_vehicles,stock_machinery,stock_BC,stock_appliances,population,stock_per_capita
1975,9636178074.434732,1614736906.8912983,1154612485.396709,6184022930.594222,682805751.552494,4070735279.0,2.367183669285888
1976,10035057459.30006,1681570507.0239928,1213963183.9563842,6432091373.950076,707432394.3696073,4144246382.0,2.421443257545217
1977,10427797898.70734,1744081975.339908,1273151812.0127375,6680719323.549926,729844787.8047795,4217863796.0,2.4722936545737952
1978,10832415270.455748,1807888188.8220944,1336253751.898491,6935367405.558771,752905924.176392,4292097499.0,2.5238045671095666
1979,11255724368.560947,1874153859.92336,1402226871.4874947,7202731996.403259,776611640.7468448,4368539520.0,2.5765417291133828
1980,11669338796.27265,1933679069.5392659,1466907746.3597019,7472114797.337508,796637183.0361738,4447606240.0,2.6237346938052344
1981,12071122012.618328,1988909711.780846,1528422938.3270812,7739633807.308121,814155555.2022808,4528777306.0,2.6654262722580264
1982,12437241477.408459,2030566326.0895717,1585546000.1724331,7995827715.323802,825301435.8226637,4612673415.0,2.696319543664996
1983,12802383607.435982,2070204988.2025673,1642392192.5808434,8254009452.902396,835776973.7501626,4697327573.0,2.7254611070821273
1984,13196352678.60476,2117619033.2652361,1713163762.7623422,8512758684.854955,852811197.7222252,4782175518.0,2.7594873147031067
1985,13597329933.266523,2160911470.7975883,1777864636.8618674,8792771330.765018,865782494.8420494,4868943457.0,2.7926654013034113
1986,14004938191.339098,2202923485.3798285,1844052833.5317223,9079668857.432695,878293014.9948382,4958072839.0,2.8246737484727578
1987,14425975883.228996,2245908831.409794,1911896370.7207272,9376536739.611118,891633941.4873563,5049746390.0,2.856772354310054
1988,14868270014.384848,2294503734.1041265,1980105051.7869062,9686158509.913069,907502718.5807469,5141992540.0,2.8915386202378364
1989,15326153654.83168,2344318430.0520086,2050356465.8797026,10007538704.521433,923940054.3785369,5234431736.0,2.9279498573695184
1990,15769650511.496809,2390843612.936365,2118094884.28711,10321987219.840717,938724794.4326164,5327803106.0,2.959878621215851
1991,16192751860.277163,2431127522.8881016,2184567900.5745277,10626912353.786972,950144083.0275613,5418735886.0,2.9882895570004098
1992,16613501759.568071,2466329858.501538,2252704320.71857,10934536007.7547,959931572.5932627,5505989815.0,3.0173506159251895
1993,17035160583.961916,2496534993.2081327,2327140421.614691,11242096418.929623,969388750.2094706,5591544802.0,3.0465928803554845
1994,17473661073.505165,2528216877.9041557,2404278251.7683616,11562247670.890984,978918272.9416796,5675551258.0,3.0787601554783044
1995,17928225378.66417,2563099398.022272,2482952691.6994667,11892188314.836033,989984974.1063793,5758878977.0,3.1131450149007307
1996,18378145088.391357,2590052941.220865,2563888346.9253364,12224716342.534199,999487457.7109579,5842055730.0,3.1458352911657963
1997,18851503314.73347,2620669809.9555144,2650326365.901733,12569283538.158459,1011223600.7177633,5924787819.0,3.181802267125791
1998,19327306957.598778,2649186397.0290465,2734999109.712396,12921533262.451141,1021588188.4061948,6007066691.0,3.217428397549778
1999,19795725397.12532,2731042823.846116,2807298305.4777246,13212208983.1791,1045175284.6223817,6089006328.0,3.2510600795561073
2000,20294686324.03811,2770767599.815207,2902000742.11223,13560380345.827435,1061537636.2832386,6171702992.0,3.2883446190370575
2001,20792141039.85469,2804538302.349627,2999737256.418915,13910796834.13892,1077068646.9472287,6254936464.0,3.3241170649011234
2002,21322255458.964066,2848471784.740987,3107782404.21399,14268475990.67495,1097525279.334117,6337730343.0,3.364336174781311
2003,21902083390.255558,2816107462.518816,3227723684.059447,14755369038.207111,1102883205.4701607,6420361633.0,3.411347310668779
2004,22532288764.714355,2868554261.809522,3358595650.931163,15171248461.823101,1133890390.1505697,6503377774.0,3.4647055034687817
2005,23238412369.508236,2927852742.013203,3514793573.7275724,15623598182.3262,1172167871.441237,6586970132.0,3.527936502492135
2006,24015557831.71003,3002741006.2761354,3688592382.2414107,16105042812.178286,1219181631.0141952,6671452019.0,3.5997497641165346
2007,24879738928.039604,3088374580.0425663,3887859942.050687,16628610745.02905,1274893660.9173007,6757308776.0,3.6819005543161234
2008,25723300027.012646,3169673894.530134,4081720222.779739,17144493371.455566,1327412538.2472067,6844457659.0,3.7582670985170377
